username,in_reply_to_screen_name,full_text,Cleaned_Text,Tokenized_Text,Formalized_Text,Stopword_Removed_Text,Stemmed_Text,BERT_Label,VADER_Label
oravine_,oravine_,cuma yang nggak mengalami PTSD yang digunain buat perhitungan IQ. Ini salah satu contoh yang nunjukin sampel yang digunain di sini berasal dari wilayah tertentu dengan kondisi sosial tertentu termasuk disebutin daerah yang terdampak defisiensi yodium cacingan atau stunting.,cuma yang nggak mengalami ptsd yang digunain buat perhitungan iq ini salah satu contoh yang nunjukin sampel yang digunain di sini berasal dari wilayah tertentu dengan kondisi sosial tertentu termasuk disebutin daerah yang terdampak defisiensi yodium cacingan atau stunting,"['cuma', 'yang', 'nggak', 'mengalami', 'ptsd', 'yang', 'digunain', 'buat', 'perhitungan', 'iq', 'ini', 'salah', 'satu', 'contoh', 'yang', 'nunjukin', 'sampel', 'yang', 'digunain', 'di', 'sini', 'berasal', 'dari', 'wilayah', 'tertentu', 'dengan', 'kondisi', 'sosial', 'tertentu', 'termasuk', 'disebutin', 'daerah', 'yang', 'terdampak', 'defisiensi', 'yodium', 'cacingan', 'atau', 'stunting']","['cuma', 'yang', 'tidak', 'mengalami', 'ptsd', 'yang', 'digunain', 'buat', 'perhitungan', 'iq', 'ini', 'salah', 'satu', 'contoh', 'yang', 'nunjukin', 'sampel', 'yang', 'digunain', 'di', 'sini', 'berasal', 'dari', 'wilayah', 'tertentu', 'dengan', 'kondisi', 'sosial', 'tertentu', 'termasuk', 'disebutin', 'daerah', 'yang', 'terdampak', 'defisiensi', 'yodium', 'cacingan', 'atau', 'stunting']",mengalami ptsd digunain perhitungan iq salah contoh nunjukin sampel digunain berasal wilayah kondisi sosial disebutin daerah terdampak defisiensi yodium cacingan stunting,"['alami', 'ptsd', 'digunain', 'hitung', 'iq', 'salah', 'contoh', 'nunjukin', 'sampel', 'digunain', 'asal', 'wilayah', 'kondisi', 'sosial', 'disebutin', 'daerah', 'dampak', 'defisiensi', 'yodium', 'cacing', 'stunting']",neutral,neutral
raquellstep,ajengrizkyJ,@ajengrizkyJ @bibahjenner @tanyakanrl kak maaf bgt ya kalo salah tp yg aku sebut jg bukan ibunya yg stunting tp nnt si anaknya. itu jg faktor tidak langsung. makanya kan aku blg cmiiw ,ajengrizkyj bibahjenner tanyakanrl kak maaf bgt ya kalo salah tp yg aku sebut jg bukan ibunya yg stunting tp nnt si anaknya itu jg faktor tidak langsung makanya kan aku blg cmiiw,"['ajengrizkyj', 'bibahjenner', 'tanyakanrl', 'kak', 'maaf', 'bgt', 'ya', 'kalo', 'salah', 'tp', 'yg', 'aku', 'sebut', 'jg', 'bukan', 'ibunya', 'yg', 'stunting', 'tp', 'nnt', 'si', 'anaknya', 'itu', 'jg', 'faktor', 'tidak', 'langsung', 'makanya', 'kan', 'aku', 'blg', 'cmiiw']","['ajengrizkyj', 'bibahjenner', 'tanyakanrl', 'kak', 'maaf', 'banget', 'iya', 'kalau', 'salah', 'tapi', 'yang', 'aku', 'sebut', 'juga', 'bukan', 'ibunya', 'yang', 'stunting', 'tapi', 'nnt', 'si', 'anaknya', 'itu', 'juga', 'faktor', 'tidak', 'langsung', 'makanya', 'kan', 'aku', 'bilang', ""correct me if i'm wrong""]",ajengrizkyj bibahjenner tanyakanrl kak maaf banget salah ibunya stunting nnt anaknya faktor correct me if im wrong,"['ajengrizkyj', 'bibahjenner', 'tanyakanrl', 'kak', 'maaf', 'banget', 'salah', 'ibu', 'stunting', 'nnt', 'anak', 'faktor', 'correct', 'me', 'if', 'im', 'wrong']",negative,negative
ajengrizkyJ,raquellstep,@raquellstep @bibahjenner @tanyakanrl Belajar yg bener besok balik lagi.. stunting itu karena gizi anak sejak kehamilan sampe usia tertentu tidak terpenuhi.. bukan masalah ibunya tidak tinggi.. kocak banget ortunya pendek disebut stunting..,raquellstep bibahjenner tanyakanrl belajar yg bener besok balik lagi stunting itu karena gizi anak sejak kehamilan sampe usia tertentu tidak terpenuhi bukan masalah ibunya tidak tinggi kocak banget ortunya pendek disebut stunting,"['raquellstep', 'bibahjenner', 'tanyakanrl', 'belajar', 'yg', 'bener', 'besok', 'balik', 'lagi', 'stunting', 'itu', 'karena', 'gizi', 'anak', 'sejak', 'kehamilan', 'sampe', 'usia', 'tertentu', 'tidak', 'terpenuhi', 'bukan', 'masalah', 'ibunya', 'tidak', 'tinggi', 'kocak', 'banget', 'ortunya', 'pendek', 'disebut', 'stunting']","['raquellstep', 'bibahjenner', 'tanyakanrl', 'belajar', 'yang', 'benar', 'besok', 'balik', 'lagi', 'stunting', 'itu', 'karena', 'gizi', 'anak', 'sejak', 'kehamilan', 'sampai', 'usia', 'tertentu', 'tidak', 'terpenuhi', 'bukan', 'masalah', 'ibunya', 'tidak', 'tinggi', 'lucu', 'sangat', 'ortunya', 'pendek', 'disebut', 'stunting']",raquellstep bibahjenner tanyakanrl belajar besok stunting gizi anak kehamilan usia terpenuhi ibunya lucu ortunya pendek stunting,"['raquellstep', 'bibahjenner', 'tanyakanrl', 'ajar', 'besok', 'stunting', 'gizi', 'anak', 'hamil', 'usia', 'penuh', 'ibu', 'lucu', 'ortunya', 'pendek', 'stunting']",neutral,neutral
ryanggraeni,95irdni,@95irdni efek stunting jangan sedih in beberapa tahun kedepan makin banyak yang stunting dilihat dari bantuan makanan buat balita stunting kan mereka cm dapet nasi sop yang isinya kuah doang wkwk,efek stunting jangan sedih in beberapa tahun kedepan makin banyak yang stunting dilihat dari bantuan makanan buat balita stunting kan mereka cm dapet nasi sop yang isinya kuah doang wkwk,"['efek', 'stunting', 'jangan', 'sedih', 'in', 'beberapa', 'tahun', 'kedepan', 'makin', 'banyak', 'yang', 'stunting', 'dilihat', 'dari', 'bantuan', 'makanan', 'buat', 'balita', 'stunting', 'kan', 'mereka', 'cm', 'dapet', 'nasi', 'sop', 'yang', 'isinya', 'kuah', 'doang', 'wkwk']","['efek', 'stunting', 'jangan', 'sedih', 'in', 'beberapa', 'tahun', 'kedepan', 'makin', 'banyak', 'yang', 'stunting', 'dilihat', 'dari', 'bantuan', 'makanan', 'buat', 'balita', 'stunting', 'kan', 'mereka', 'cm', 'dapat', 'nasi', 'sop', 'yang', 'isinya', 'kuah', 'doang', 'haha']",efek stunting sedih in kedepan stunting bantuan balita stunting cm nasi sop isinya kuah doang haha,"['efek', 'stunting', 'sedih', 'in', 'depan', 'stunting', 'bantu', 'balita', 'stunting', 'cm', 'nasi', 'sop', 'isi', 'kuah', 'doang', 'haha']",negative,positive
manemismem,heezxvq,@heezxvq @drakulakuota waalaikumsalam zeed,heezxvq drakulakuota waalaikumsalam zeed,"['heezxvq', 'drakulakuota', 'waalaikumsalam', 'zeed']","['heezxvq', 'drakulakuota', 'waalaikumsalam', 'zeed']",heezxvq drakulakuota waalaikumsalam zeed,"['heezxvq', 'drakulakuota', 'waalaikumsalam', 'zeed']",neutral,neutral
manemismem,MasBRO_back,@MasBRO_back gaada yg bener kocak dua2 nya emosian kesabaran setipis tisyu,masbro back gaada yg bener kocak nya emosian kesabaran setipis tisyu,"['masbro', 'back', 'gaada', 'yg', 'bener', 'kocak', 'nya', 'emosian', 'kesabaran', 'setipis', 'tisyu']","['masbro', 'back', 'tidak ada uang', 'yang', 'benar', 'lucu', 'nya', 'emosian', 'kesabaran', 'setipis', 'tisyu']",masbro back uang lucu emosian kesabaran setipis tisyu,"['masbro', 'back', 'uang', 'lucu', 'emosi', 'sabar', 'setip', 'tisyu']",neutral,neutral
manemismem,englishfess_,@englishfess_ pipel ceng yh,englishfess pipel ceng yh,"['englishfess', 'pipel', 'ceng', 'yh']","['englishfess', 'pipel', 'ceng', 'yh']",englishfess pipel ceng yh,"['englishfess', 'pipel', 'ceng', 'yh']",negative,neutral
manemismem,KontenBerfaedah,@QuoteAja sakit ga yah,quoteaja sakit ga yah,"['quoteaja', 'sakit', 'ga', 'yah']","['quoteaja', 'sakit', 'ga', 'iya']",quoteaja,['quoteaja'],positive,neutral
OlaStunting,jay0__7,@jay0__7 Nawa,nawa,['nawa'],['nawa'],nawa,['nawa'],positive,neutral
BPOMPontianak,BPOMPontianak,Tim KPD kader dan komunitas dapat berbagi wawasan ini sebagai wujud pemberdayaaan aktif masyarakat Desa Semerangkai menerapkan keamanan pangan lebih baik. Keamanan pangan mendukung upaya bersama mencegah stunting. https://t.co/7VFRUvBETh,tim kpd kader dan komunitas dapat berbagi wawasan ini sebagai wujud pemberdayaaan aktif masyarakat desa semerangkai menerapkan keamanan pangan lebih baik keamanan pangan mendukung upaya bersama mencegah stunting,"['tim', 'kpd', 'kader', 'dan', 'komunitas', 'dapat', 'berbagi', 'wawasan', 'ini', 'sebagai', 'wujud', 'pemberdayaaan', 'aktif', 'masyarakat', 'desa', 'semerangkai', 'menerapkan', 'keamanan', 'pangan', 'lebih', 'baik', 'keamanan', 'pangan', 'mendukung', 'upaya', 'bersama', 'mencegah', 'stunting']","['tim', 'kepada', 'kader', 'dan', 'komunitas', 'dapat', 'berbagi', 'wawasan', 'ini', 'sebagai', 'wujud', 'pemberdayaaan', 'aktif', 'masyarakat', 'desa', 'semerangkai', 'menerapkan', 'keamanan', 'pangan', 'lebih', 'baik', 'keamanan', 'pangan', 'mendukung', 'upaya', 'bersama', 'mencegah', 'stunting']",tim kader komunitas berbagi wawasan wujud pemberdayaaan aktif masyarakat desa semerangkai menerapkan keamanan pangan keamanan pangan mendukung upaya mencegah stunting,"['tim', 'kader', 'komunitas', 'bagi', 'wawas', 'wujud', 'pemberdayaaan', 'aktif', 'masyarakat', 'desa', 'rangka', 'terap', 'aman', 'pangan', 'aman', 'pangan', 'dukung', 'upaya', 'cegah', 'stunting']",neutral,neutral
